"","sample","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","Sample_name","block","plot","year","Precipitation","Warm","Clip","warm","precip","clip","total.biomass","F.Bratio","Bacteria.biomass","AM.Fungi.biomass","Fungi.biomass","NO3.N","NH4.N","TN","TC","pH","FlTotl","FlC4","FlC3","plant.richness","annual_moisture","precipitation_Oct_cm","precipitation_annual_cm","SPEI","temperature_annual","ER_annualmean","GPP_annualmean","NEE_annualmean","Autotrophic","Heterotrophic","total_soil_respiration","group"
"1","X13_12N_N_N_2",-13.9214305593638,-6.50280671536302,9.7051182282138,2.46014918919206,0.897509428164274,-0.328878444465419,6.92034477860755,4.1676774189504,7.18974998073639,7.74507520700863,4.3632599518901,44.1608749907677,29.2272727632994,-30.4136134476168,2.71587680223783,2.61263694055838e-13,"X13_12N_N_N_2","B2","N12",2013,"double","unwarming","uncliping",0,2,0,52373.39222,0.077126201,47709.84121,1667.413863,2012.26494,1.81,3.94,0.087,0.762,6.54,116.6559436,28.56120695,88.09473664,2,10.5525,8.1,99.38,0.3783,16.16015343,4.507311651,5.16098975,0.653678098,1.682083333,1.130902778,2.812986111,2013
"2","X13_18S_H_C_0",10.3115256983171,35.2153068441367,63.796584763615,41.7760941180736,-9.6329932581693,-10.1683059702169,-11.663223273679,-1.30473873338172,-4.82691014105756,-3.5602112836244,-9.88388715805626,-4.10522842741624,-0.880229103966459,3.91632109434054,1.64713408606881,-8.88537046673729e-13,"X13_18S_H_C_0","B4","S18",2013,"half","warming","Cliping",1,0.5,1,25086.49574,0.066126674,23109.01199,631.6707536,896.451354,1.28,2.27,0.075,0.658,6.34,420.84,197.88,222.96,6,5.6925,8.1,99.38,0.3783,20.16873354,3.995088961,4.228701245,0.233612284,1.206944444,1.483784722,2.690729167,2013
"3","X13_22N_H_N_2",-23.8237085834506,-18.1270230040563,-11.0665150832459,-12.9391334756626,-41.3524648772253,-58.7137172295875,-10.5613574363556,0.945322683973415,-5.67198005680427,-7.87081871296255,1.54235726952633,-4.85619401303115,1.0536814063226,1.86240541093667,-0.247006125652625,-5.67729213250476e-13,"X13_22N_H_N_2","B4","N22",2013,"double","warming","uncliping",1,2,0,34319.12429,0.10101049,30939.30979,817.67081,2307.524044,2.62,3.66,0.081,0.714,6.34,169.4853084,28.56120695,140.9241015,4,7.725,8.1,99.38,0.3783,18.6400585,3.944962263,5.211825972,1.266863709,0.900208333,2.222465278,3.122673611,2013
"4","X13_23N_N_N_1",-21.9665832087457,-16.1620324555137,-3.48239075494682,6.30586496648946,-4.83038024561092,24.6011545128904,-10.2905729939106,-11.2630625795398,-56.2759021548871,16.9115893818442,11.9121324840186,-12.3472556623275,2.96770065167283,-8.13329584023091,0.869263597726401,3.88093257617378e-13,"X13_23N_N_N_1","B4","N23",2013,"normal","unwarming","uncliping",0,1,0,37018.26848,0.044799491,34745.56805,974.9161363,581.6676216,1.65,3.15,0.113,1.16,6.28,254.0122922,28.56120695,225.4510853,5,6.71875,8.1,99.38,0.3783,16.42034861,4.038664885,6.114549266,2.075884381,0.383506944,2.404444444,2.787951389,2013
"5","X13_3N_N_N_1",-22.3940614146291,-2.91114965909926,-14.2088164812165,3.37975949728381,7.59999031912414,15.1827379336398,-3.15352949471672,-39.9843755834796,6.85889129904097,-44.9083898427532,-24.0433613060632,-4.51448459329986,8.8944044153316,-2.47400595434842,-2.52213583540728,2.00805111471095e-13,"X13_3N_N_N_1","B1","N03",2013,"normal","unwarming","uncliping",0,1,0,21013.45432,0,20575.25414,0,0,3.52,2.54,0.091,0.772,6.41,82.31685643,28.56120695,53.75564948,7,10.685,8.1,99.38,0.3783,16.68461503,2.990479804,5.016509627,2.026029823,1.522013889,1.209444444,2.731458333,2013
"6","X13_4S_H_C_2",-13.3259654684517,-1.31700865512048,4.24781678879718,3.41798105520242,1.77082212692445,3.29729867349323,11.9749743952955,-0.0409529154773878,11.3009950149768,4.12640292276178,13.4110049432079,-1.44656571984168,-18.811201451304,-7.55217277493209,-50.4890734765934,-4.51411369221943e-13,"X13_4S_H_C_2","B2","S04",2013,"double","warming","Cliping",1,2,1,38593.96852,0.048068664,36489.10862,935.9941142,817.9886017,2.9,3.79,0.075,0.62,6.34,209.96,20.43,189.53,5,8.65125,8.1,99.38,0.3783,20.0657345,2.84557033,4.580599369,1.735029039,1.226342593,1.615462963,2.841805556,2013
"7","X13_6N_N_N_1",9.65461785138301,-5.5398544490419,3.32223488927597,-16.3707035471711,36.7906046389075,-9.50187054557398,-51.6257784244436,-17.0874015147932,19.4115841827206,17.8011853477597,13.9176791008071,-3.68866663269005,-1.81944834394076,0.593797815462867,3.28140640421123,4.22973288338735e-14,"X13_6N_N_N_1","B2","N06",2013,"normal","unwarming","uncliping",0,1,0,22392.029,0.014826944,21864.31063,324.1809124,0,6.23,2.9,0.091,0.716,6.17,166.8438402,38.90379216,127.940048,4,10.1575,8.1,99.38,0.3783,16.71905034,2.369703856,5.108256723,2.738552867,1.602152778,0.949166667,2.551319444,2013
"8","X13_8N_N_N_0",-18.1151162908789,-3.0135479436204,-5.69706255907151,2.78475669060173,-3.14035233317082,0.523145244776089,25.4211429973558,-12.001795220716,20.8286767425092,43.7666304699326,-29.9832426158301,-21.5674903230109,9.04785979860466,3.90760290710025,6.09699084335726,3.46209877172959e-14,"X13_8N_N_N_0","B1","N08",2013,"half","unwarming","uncliping",0,0.5,0,25462.33959,0.03915881,24143.17383,533.4639708,411.9539872,5.66,3.08,0.094,0.857,6.37,565.7055448,456.7442345,108.9613103,6,9.96125,8.1,99.38,0.3783,16.98176181,2.240723315,3.382195024,1.141471709,1.613263889,1.267916667,2.881180556,2013
"9","X14_15N_H_N_0",79.2968012745525,-42.4087734615996,-21.5625899845022,35.0369781370855,-7.22859187769705,-0.249722739087357,4.17667458044945,-1.18028053555081,3.05500766071134,-2.09923648441018,0.755934888425036,0.336206972852709,-0.57476078609043,-0.402266101730741,0.457748537079048,-1.10803917039923e-13,"X14_15N_H_N_0","B3","N15",2014,"half","warming","uncliping",1,0.5,0,22856.44752,0.021432034,22119.14336,291.1169405,182.9413006,21.36,2.56,0.077,0.661,6.24,125.863,116.811,9.052,4,4.062,5.8,60.99,-0.8941,20.69737106,0.324361388,1.51574333,1.191381942,0.607381366,1.980066551,2.587447917,2014
"10","X14_16S_H_C_1",10.3793033742634,67.182164906771,-56.5245657388902,11.7414117214862,-5.12741653340765,-0.666734926930871,-7.33885057265837,7.99796910616861,-3.75496111432297,4.24831635468334,2.45494564403738,5.31153813643065,-0.489933062374768,-1.1577705782175,0.530734141303118,-1.46730257067837e-13,"X14_16S_H_C_1","B4","S16",2014,"normal","warming","Cliping",1,1,1,16830.70339,0,16509.02622,0,0,15.83,4.22,0.115,1.112,5.93,63.62,46.015,17.605,5,4.478,5.8,60.99,-0.8941,20.8744339,3.200712072,3.894537716,0.693825645,1.660034722,1.053793403,2.713828125,2014
"11","X14_1N_H_N_1",42.5006551701848,13.5632673120235,19.8446022229862,-54.6638585830858,-37.8619546486458,27.1124653961431,-0.71656151862394,-3.83761388607721,3.63679285806483,-1.43631702583003,-1.52194307820548,-0.114211106579662,0.396317476097343,0.336098305595067,0.165959983861646,3.15911386676929e-13,"X14_1N_H_N_1","B1","N01",2014,"normal","warming","uncliping",1,1,0,16234.78842,0,16035.59975,0,0,9.93,4.07,0.083,0.727,5.81,125.863,98.771,27.092,4,2.941666667,5.8,60.99,-0.8941,17.95128161,2.209330415,2.903061642,0.693731227,0.712216435,1.337609954,2.049826389,2014
"12","X14_23S_N_C_1",-25.2115186102325,-18.7059791276888,-3.85433354853279,3.81212396642367,-1.44073676361039,23.7331589137077,-22.6983881007155,54.9958008483421,11.2468616550551,-11.0960618305943,-17.3870964740482,-10.2298597372586,-0.89035121374421,-0.828565412310598,2.36019828877526,7.97296527844243e-14,"X14_23S_N_C_1","B4","S23",2014,"normal","unwarming","Cliping",0,1,1,28480.51989,0.013142628,27276.50512,226.8256685,131.6593026,1.18,4.32,0.098,0.982,6.2,217.695,217.695,0,3,6.332,5.8,60.99,-0.8941,17.4237758,3.008382549,3.873522996,0.865140446,1.104655671,1.758278356,2.862934028,2014
"13","X14_3N_N_N_1",-16.8514421734996,-4.90809367241105,1.90347032925182,0.170577501449352,2.1826875185753,2.68788511935106,14.5107367213461,-5.6995139192827,4.19392449802552,-1.32603044101361,2.75395423886937,16.0823435568742,-49.1306157047919,-9.64708685848375,25.6662155652997,6.63175298096924e-14,"X14_3N_N_N_1","B1","N03",2014,"normal","unwarming","uncliping",0,1,0,15419.68879,0,15419.68879,0,0,13.49,2.75,0.08,0.645,6.04,80.279,66.307,13.972,3,5.6,5.8,60.99,-0.8941,16.98552004,2.86065106,5.648362933,2.787711873,1.311001157,1.45662037,2.767621528,2014
"14","X14_3S_N_C_1",-17.3107389261792,-7.8484046935289,0.191633990895952,2.28120151136139,2.25449552168977,9.12085407015587,7.89434058308121,0.0732823735387229,-0.703719126755996,1.03706626722565,13.130780518364,25.1952767591707,6.7563484303222,52.8439328011904,0.0193078106150946,2.22420416503069e-13,"X14_3S_N_C_1","B1","S03",2014,"normal","unwarming","Cliping",0,1,1,18180.83484,0,17998.79742,0,0,6.67,3.77,0.095,0.859,5.91,292.09,266.525,25.565,7,4.798333333,5.8,60.99,-0.8941,16.13334689,2.454915268,4.8024546,2.347539332,1.398933256,1.358553241,2.757486497,2014
"15","X14_4N_H_N_2",24.7324453587607,4.18271593255483,6.43275991024012,-27.5540924795217,45.7040756062849,-24.4813713430977,19.4393068453734,16.0140638012405,-28.1786597649805,-6.77089116682036,-23.9853514262176,1.93321163703741,-0.243929959216822,2.11244749808666,-4.72828931491262,2.55498882684516e-13,"X14_4N_H_N_2","B2","N04",2014,"double","warming","uncliping",1,2,0,13021.23204,0,13021.23205,0,0,9.26,2.88,0.076,0.612,5.84,188.541,143.409,45.132,5,4.461666667,5.8,60.99,-0.8941,19.41668254,1.816507493,3.330188961,1.513681468,1.658321759,1.342748843,3.001070602,2014
"16","X14_4S_H_C_2",-3.95478349202966,7.30121884155771,6.95205302713003,-1.63911026920874,13.4147053778664,-2.14809866519811,27.710740913595,8.2056186560845,11.6896484669662,-16.5683091632077,42.5628330192758,-30.1494958376771,14.4968846837787,-4.96382886484166,14.1756686920303,2.50889532673465e-13,"X14_4S_H_C_2","B2","S04",2014,"double","warming","Cliping",1,2,1,18656.9887,0,18493.29731,0,0,3.6,2.85,0.077,0.658,6.03,154.6,111.395,43.205,6,4.75,5.8,60.99,-0.8941,20.09304644,3.157429217,6.39473987,3.237310653,1.148028549,1.850455247,2.998483796,2014
