sample,year,Warm,total.biomass,F.Bratio,Bacteria.biomass,AM.Fungi.biomass,Fungi.biomass,NO3.N,NH4.N,TN,TC,pH,FlTotl,FlC4,FlC3,plant.richness,annual_moisture,precipitation_Oct_cm,precipitation_annual_cm,SPEI,temperature_annual,ER_annualmean,GPP_annualmean,NEE_annualmean,Autotrophic,Heterotrophic,total_soil_respiration
X09_10S_H_C_1,2009,unwarming,40692.09544,0.056643571,38062.44953,1283.44834,872.5447339,2.28,4.02,0.111,1.047,7.25,425.16,77.84,347.32,6,6.526,16.3,101.16,0.0904,18.84485794,5.441832296,11.63086135,6.189029059,NA,NA,NA
X09_11S_N_C_0,2009,unwarming,34374.78615,0.061166502,31823.1017,995.5854646,950.9223521,1.01,2.84,0.092,0.833,6.98,604.03,318.29,285.74,8,7.13,16.3,101.16,0.0904,16.83779937,7.752553064,12.54981194,4.79725888,NA,NA,NA
X09_12S_N_C_2,2009,unwarming,25713.76563,0.02202198,25159.69924,554.0663901,0,1.26,2.99,0.107,1.01,6.6,342.65,83.73,258.92,5,6.708,16.3,101.16,0.0904,24.00198173,9.291400446,11.85034668,2.558946234,NA,NA,NA
X09_13S_N_C_0,2009,unwarming,44571.64214,0.08597448,40006.48723,1311.285605,2128.251321,1.5,3.56,0.134,1.352,6.71,234.65,125.45,109.2,10,6.81,16.3,101.16,0.0904,16.60341228,6.945354831,10.85741014,3.912055306,NA,NA,NA
X09_14S_N_C_2,2009,unwarming,51562.82226,0.05321471,47779.74333,1582.348901,960.2362744,1.31,4.35,0.135,1.381,6.24,273.78,91.59,182.19,8,7.344,16.3,101.16,0.0904,16.14122084,7.42714462,10.32138518,2.894240559,NA,NA,NA
X09_15S_H_C_0,2009,unwarming,36593.69097,0.053403505,34367.94483,1084.867546,750.5011777,2.18,5.4,0.127,1.111,6.85,127.51,15.44,112.07,4,5.768,16.3,101.16,0.0904,19.33658608,6.062333211,9.235843529,3.173510318,NA,NA,NA
X09_16S_H_C_1,2009,unwarming,42517.10567,0.05009362,39728.54486,1292.27392,697.8726966,1.09,3.36,0.111,1.121,6.91,408.98,118.58,290.4,6,7.074,16.3,101.16,0.0904,20.02399943,6.041609075,9.043173883,3.001564808,NA,NA,NA
X09_17S_N_C_2,2009,unwarming,45216.16143,0.086177577,40854.14244,1884.485297,1636.225724,0.87,4.26,0.109,1.146,6.82,120,84.23,35.77,6,6.492,16.3,101.16,0.0904,16.80954103,8.657540529,12.92486092,4.267320388,NA,NA,NA
X09_18S_H_C_0,2009,unwarming,33772.76991,0.052158936,31773.45499,973.1958176,684.0737833,0.97,3.01,0.108,1.041,6.71,277.25,130.98,146.27,6,6.924,16.3,101.16,0.0904,19.18723927,7.242396825,12.42893807,5.186541249,NA,NA,NA
X09_19S_N_C_1,2009,unwarming,38756.39095,0.044008895,36763.05363,1203.332213,414.5691699,0.7,2.84,0.086,0.857,6.65,534.6,105.42,429.18,3,5.816,16.3,101.16,0.0904,16.14164864,10.60208406,12.74698845,2.144904394,NA,NA,NA
X09_1S_H_C_1,2009,unwarming,23081.61907,0.015424224,22074.22787,0,340.4778373,3.12,2.71,0.107,1.034,6.57,497.16,154.37,342.79,7,5.98,16.3,101.16,0.0904,18.64462531,7.760058366,10.15046303,2.390404665,NA,NA,NA
X09_20S_H_C_1,2009,unwarming,30992.00337,0.004388101,30340.87193,0,133.1387978,0.68,2.96,0.098,0.893,6.72,290.63,67.57,223.06,6,6.198,16.3,101.16,0.0904,19.76820056,6.973755628,9.727989232,2.754233605,NA,NA,NA
X09_21S_H_C_2,2009,unwarming,35120.91611,0.048591327,32859.30443,1186.895077,409.7821129,1.12,2.95,0.095,0.828,6.54,513.73,173.91,339.82,6,7.506,16.3,101.16,0.0904,19.15653932,10.99412783,15.72888633,4.734758496,NA,NA,NA
X09_22S_H_C_2,2009,unwarming,32445.47765,0.04435903,30539.17745,883.8754162,470.8128668,0.75,3.4,0.09,0.85,6.54,365.31,151.79,213.52,4,6.386,16.3,101.16,0.0904,18.82244993,7.517193098,9.852642692,2.335449594,NA,NA,NA
X09_23S_N_C_1,2009,unwarming,64605.44808,0.086454445,57961.23857,2700.639747,2310.366943,0.97,4.4,0.141,1.528,6.34,517.8,12.96,504.84,5,6.388,16.3,101.16,0.0904,16.7993735,8.083961864,10.99244958,2.908487714,NA,NA,NA
X09_24S_N_C_0,2009,unwarming,86107.56026,0.096679255,76712.2912,3046.599167,4369.888008,1.24,4.73,0.177,1.963,6.37,254.84,28.81,226.03,5,7.29,16.3,101.16,0.0904,16.55332773,7.169617636,10.71518412,3.545566481,NA,NA,NA
X09_2S_H_C_0,2009,unwarming,31481.77718,0.010303295,30566.13467,0,314.9319067,2.83,7.65,0.132,1.469,6.9,377.48,16.58,360.9,6,6.78,16.3,101.16,0.0904,19.12093512,4.508258471,7.57867448,3.070416009,NA,NA,NA
X09_3S_N_C_1,2009,unwarming,21915.45197,0,21578.11814,0,0,0.53,2.78,0.099,0.827,7.01,290.9,39.14,251.76,5,7.322,16.3,101.16,0.0904,15.91431707,7.195489438,10.58315305,3.38766361,NA,NA,NA
X09_4S_H_C_2,2009,unwarming,24159.75473,0,24159.75473,0,0,0.53,3.43,0.098,0.866,6.7,588.82,192.38,396.44,7,6.296,16.3,101.16,0.0904,20.53201991,6.829725488,10.5186173,3.688891815,NA,NA,NA
X09_5S_H_C_0,2009,unwarming,28759.89528,0,28359.84992,0,0,0.76,3.06,0.1,0.952,6.66,196.09,5.09,191,5,7.868,16.3,101.16,0.0904,20.98603009,3.285624122,5.72799152,2.442367398,NA,NA,NA
X09_6S_N_C_1,2009,unwarming,24716.6345,0,24716.6345,0,0,0.6,3.31,0.112,1.08,6.57,493.06,77.35,415.71,6,7.252,16.3,101.16,0.0904,18.24640216,4.824389096,7.235415029,2.411025933,NA,NA,NA
X09_7S_H_C_2,2009,unwarming,42081.10103,0.039639453,39765.57916,1023.639483,552.6463049,0.64,4.97,0.121,1.214,6.59,438.29,61.31,376.98,4,7.04,16.3,101.16,0.0904,20.11381714,5.958598849,10.09800619,4.139407337,NA,NA,NA
X09_8S_N_C_0,2009,unwarming,48362.24679,0.048310832,45520.61211,1357.608124,841.5305106,0.97,3.97,0.133,1.285,6.66,291.66,25.45,266.21,6,8.132,16.3,101.16,0.0904,16.90663298,6.269605122,9.775643741,3.506038619,NA,NA,NA
X09_9S_N_C_2,2009,unwarming,34081.74734,0.044022888,32124.45839,1007.56375,406.6476867,0.55,2.99,0.102,0.885,6.75,595.13,318.29,276.84,7,7.75,16.3,101.16,0.0904,16.30203333,8.652555121,12.53923853,3.886683405,NA,NA,NA
X13_12N_N_N_2,2013,unwarming,52373.39222,0.077126201,47709.84121,1667.413863,2012.26494,1.81,3.94,0.087,0.762,6.54,116.6559436,28.56120695,88.09473664,2,10.5525,8.1,99.38,0.3783,16.16015343,4.507311651,5.16098975,0.653678098,1.682083333,1.130902778,2.812986111
X13_18S_H_C_0,2013,warming,25086.49574,0.066126674,23109.01199,631.6707536,896.451354,1.28,2.27,0.075,0.658,6.34,420.84,197.88,222.96,6,5.6925,8.1,99.38,0.3783,20.16873354,3.995088961,4.228701245,0.233612284,1.206944444,1.483784722,2.690729167
X13_22N_H_N_2,2013,warming,34319.12429,0.10101049,30939.30979,817.67081,2307.524044,2.62,3.66,0.081,0.714,6.34,169.4853084,28.56120695,140.9241015,4,7.725,8.1,99.38,0.3783,18.6400585,3.944962263,5.211825972,1.266863709,0.900208333,2.222465278,3.122673611
X13_23N_N_N_1,2013,unwarming,37018.26848,0.044799491,34745.56805,974.9161363,581.6676216,1.65,3.15,0.113,1.16,6.28,254.0122922,28.56120695,225.4510853,5,6.71875,8.1,99.38,0.3783,16.42034861,4.038664885,6.114549266,2.075884381,0.383506944,2.404444444,2.787951389
X13_3N_N_N_1,2013,unwarming,21013.45432,0,20575.25414,0,0,3.52,2.54,0.091,0.772,6.41,82.31685643,28.56120695,53.75564948,7,10.685,8.1,99.38,0.3783,16.68461503,2.990479804,5.016509627,2.026029823,1.522013889,1.209444444,2.731458333
X13_4S_H_C_2,2013,warming,38593.96852,0.048068664,36489.10862,935.9941142,817.9886017,2.9,3.79,0.075,0.62,6.34,209.96,20.43,189.53,5,8.65125,8.1,99.38,0.3783,20.0657345,2.84557033,4.580599369,1.735029039,1.226342593,1.615462963,2.841805556
X13_6N_N_N_1,2013,unwarming,22392.029,0.014826944,21864.31063,324.1809124,0,6.23,2.9,0.091,0.716,6.17,166.8438402,38.90379216,127.940048,4,10.1575,8.1,99.38,0.3783,16.71905034,2.369703856,5.108256723,2.738552867,1.602152778,0.949166667,2.551319444
X13_8N_N_N_0,2013,unwarming,25462.33959,0.03915881,24143.17383,533.4639708,411.9539872,5.66,3.08,0.094,0.857,6.37,565.7055448,456.7442345,108.9613103,6,9.96125,8.1,99.38,0.3783,16.98176181,2.240723315,3.382195024,1.141471709,1.613263889,1.267916667,2.881180556
X14_15N_H_N_0,2014,warming,22856.44752,0.021432034,22119.14336,291.1169405,182.9413006,21.36,2.56,0.077,0.661,6.24,125.863,116.811,9.052,4,4.062,5.8,60.99,-0.8941,20.69737106,0.324361388,1.51574333,1.191381942,0.607381366,1.980066551,2.587447917
X14_16S_H_C_1,2014,warming,16830.70339,0,16509.02622,0,0,15.83,4.22,0.115,1.112,5.93,63.62,46.015,17.605,5,4.478,5.8,60.99,-0.8941,20.8744339,3.200712072,3.894537716,0.693825645,1.660034722,1.053793403,2.713828125
X14_1N_H_N_1,2014,warming,16234.78842,0,16035.59975,0,0,9.93,4.07,0.083,0.727,5.81,125.863,98.771,27.092,4,2.941666667,5.8,60.99,-0.8941,17.95128161,2.209330415,2.903061642,0.693731227,0.712216435,1.337609954,2.049826389
X14_23S_N_C_1,2014,unwarming,28480.51989,0.013142628,27276.50512,226.8256685,131.6593026,1.18,4.32,0.098,0.982,6.2,217.695,217.695,0,3,6.332,5.8,60.99,-0.8941,17.4237758,3.008382549,3.873522996,0.865140446,1.104655671,1.758278356,2.862934028
X14_3N_N_N_1,2014,unwarming,15419.68879,0,15419.68879,0,0,13.49,2.75,0.08,0.645,6.04,80.279,66.307,13.972,3,5.6,5.8,60.99,-0.8941,16.98552004,2.86065106,5.648362933,2.787711873,1.311001157,1.45662037,2.767621528
X14_3S_N_C_1,2014,unwarming,18180.83484,0,17998.79742,0,0,6.67,3.77,0.095,0.859,5.91,292.09,266.525,25.565,7,4.798333333,5.8,60.99,-0.8941,16.13334689,2.454915268,4.8024546,2.347539332,1.398933256,1.358553241,2.757486497
X14_4N_H_N_2,2014,warming,13021.23204,0,13021.23205,0,0,9.26,2.88,0.076,0.612,5.84,188.541,143.409,45.132,5,4.461666667,5.8,60.99,-0.8941,19.41668254,1.816507493,3.330188961,1.513681468,1.658321759,1.342748843,3.001070602
X14_4S_H_C_2,2014,warming,18656.9887,0,18493.29731,0,0,3.6,2.85,0.077,0.658,6.03,154.6,111.395,43.205,6,4.75,5.8,60.99,-0.8941,20.09304644,3.157429217,6.39473987,3.237310653,1.148028549,1.850455247,2.998483796
